newParticles,particles
1022.4804507333466,302
1022.3880305293949,217
1022.295583883955,256
1022.2614279170399,551
1022.192737111929,346
1021.9700908979675,272
1021.9700908979675,55
987.9560911260784,224
987.9560911260784,458
957.109915433918,124
956.979138164851,126
956.979138164851,913
956.9753282827893,251
956.9753282827893,152
956.9193279999167,538
956.9172607170561,192
956.9172607170561,465
956.9115112304794,422
956.9115112304794,94
956.9053704116362,539
956.7969734842565,459
956.7969734842565,588
956.654098254049,87
956.654098254049,183
956.613250471845,498
956.613250471845,572
956.5787825682883,530
956.5787825682883,923
956.5616076203951,911
956.4867397521374,263
956.4173644649258,469
956.2641126846872,738
863.7281177925455,537
863.7281177925455,514
863.7281177925455,722
806.4348725404279,1021
805.6511755553564,399
805.6511755553564,803
803.0082172130197,873
803.0082172130197,466
803.0082172130197,871
802.7936044364062,997
802.7936044364062,481
802.7629047162028,333
802.7629047162028,221
802.7629047162028,127
769.1576348216275,1070
768.9299212431812,769
768.8394335847025,957
768.8394335847025,350
768.8046676614899,507
768.7644812960145,209
768.6800995877841,959
768.6800995877841,160
686.8491240903369,117
656.0767951182006,549
656.0767951182006,130
656.0282108953905,227
656.0282108953905,864
595.5258496632143,1010
595.4630187678655,682
595.4630187678655,806
595.1828283922795,229
595.1828283922795,951
595.1828283922795,1022
595.1828283922795,133
595.1828283922795,23
594.8910598571243,976
594.7127902440754,107
594.7127902440754,869
587.7807518433661,550
587.5031967748243,664
587.3676888135295,636
587.3422865302384,594
587.2131601051045,595
587.2047188405788,988
587.1306425775391,656
539.3575460398406,228
539.3113338290229,480
539.2995040516192,978
539.2995040516192,618
537.3185203025027,722
537.2880169114522,460
537.2837600747853,701
536.8077442322515,118
536.8077442322515,731
536.8031912063632,687
536.8031912063632,106
536.8031912063632,294
536.8031912063632,453
452.8387903796048,504
452.8387903796048,1002
452.5938582536238,602
452.5938582536238,471
452.3243405955423,544
106.48115740954137,723
106.48115740954137,732
106.42123456789922,307
106.41683776812366,234
106.41683776812366,754
